ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
0,337.9,63.29,518.13,22.38,18.59,76.65910973030171
1,342.96,63.19,488.85,37.36,20.41,80.50814758341832
2,369.86,57.39,516.86,26.45,20.89,80.555786930794
3,304.65,67.8,517.5,32.98,22.52,83.1027039187024
4,442.25,68.21,500.91,37.28,21.88,83.80120149930379
5,736.84,66.18,540.48,24.58,22.51,86.27536037081883
6,460.0,59.88,460.3,49.72,18.76,80.52431493289266
7,394.64,64.34,519.61,35.99,19.51,81.45582075172723
8,430.41,65.21,512.5,31.24,20.32,81.19388696026249
9,432.9,63.51,412.19,38.55,20.8,78.35317421674368
10,408.16,71.85,538.17,36.91,20.73,83.69932339049274
11,392.64,74.98,454.5,24.66,21.12,77.64846127223865
12,284.79,64.23,518.91,19.08,21.03,78.35039390214075
13,444.47,68.55,461.97,21.22,23.58,80.4607317995886
14,397.99,64.42,518.99,27.85,21.56,81.75368370173206
15,359.74,73.42,464.84,26.35,19.23,76.10195125650945
16,393.78,69.13,477.95,30.23,19.65,78.15397029921846
17,477.04,67.07,415.8,24.18,19.42,74.0158759065847
18,446.17,62.14,519.08,36.81,22.01,84.50500194855431
19,334.03,73.59,567.12,32.39,18.29,80.93071108886714
20,390.99,62.29,463.81,31.64,21.92,80.4138978424342
21,379.24,70.2,466.4,31.76,18.57,76.22027045934894
22,346.23,67.93,474.49,24.74,19.98,76.67446035441989
23,385.8,66.51,513.31,31.5,19.09,79.51835856783669
24,447.93,65.34,546.72,40.63,19.49,83.63687065686449
25,303.87,65.15,404.05,42.79,17.86,74.14569019207157
26,540.21,68.05,493.24,32.5,19.77,80.97354412396454
27,291.4,65.93,425.79,36.36,22.31,78.63173479346295
28,620.03,68.95,526.59,26.17,18.71,80.98162474990733
29,539.9,71.64,385.9,27.98,20.33,75.38072128340718
30,501.58,73.71,471.35,28.08,21.27,80.41004081478437
31,408.14,64.46,528.47,34.98,18.87,80.8591457338297
32,510.28,69.13,483.31,31.45,21.64,82.18255337480055
33,420.26,62.21,542.06,31.78,18.16,80.45416421410997
34,562.05,66.58,529.8,27.36,18.32,80.09817760745533
35,460.19,76.4,508.85,23.91,18.94,78.30855470695201
36,593.98,64.49,528.8,36.1,16.84,80.76211421727194
37,487.84,64.82,489.65,25.97,21.69,80.95947559652045
38,404.1,68.71,424.02,20.83,19.49,73.1685227525477
39,560.16,59.98,350.51,35.05,23.69,78.839978513783
40,389.87,63.12,455.93,33.71,21.15,79.5847292030473
41,296.58,65.98,515.48,30.15,20.27,79.93090036149292
42,614.66,71.6,499.02,31.81,20.51,82.29044320528588
43,460.72,65.3,437.65,40.54,19.11,78.34887507354829
44,535.67,73.66,473.12,26.63,18.52,77.31998391994073
45,452.61,63.08,485.4,38.86,18.0,78.74976790387036
46,555.29,61.89,499.86,31.96,19.98,81.14210089105035
47,317.54,69.15,465.65,41.83,17.83,76.9747629626409
48,588.07,70.26,535.14,30.66,21.44,84.87748078218532
49,470.28,66.92,459.86,26.16,23.12,80.87943993212228
50,472.96,64.18,468.82,20.55,22.58,79.56034161935123
51,392.06,65.71,480.77,28.71,22.2,80.98569740979343
52,427.03,69.68,484.94,29.08,22.29,81.7759317822584
53,384.21,73.73,455.08,32.39,19.91,77.47620203275868
54,391.89,68.5,530.84,33.31,20.41,82.37112112652724
55,456.09,70.77,512.59,33.38,18.13,79.17612362003787
56,437.62,67.61,474.2,25.86,18.57,76.10739465005399
57,466.98,65.76,534.49,38.83,18.21,81.445962929261
58,485.25,67.79,516.33,28.68,20.34,81.2309155126971
59,537.59,65.44,475.0,31.49,19.03,79.0218523551749
60,444.27,62.92,499.52,36.85,20.55,82.09359849712018
61,330.22,66.92,582.33,25.31,21.83,84.52324665320744
62,420.54,65.19,364.76,26.38,19.98,72.51342590311467
63,540.08,68.4,571.02,31.89,20.45,85.47034161223766
64,595.71,69.46,465.41,45.9,19.55,82.62975299369468
65,476.53,75.65,430.41,31.56,19.64,76.74585354849022
66,434.93,68.88,521.83,23.59,21.13,80.83341741650472
67,373.3,67.41,476.76,18.92,20.22,76.3093667317241
68,451.94,65.02,475.38,28.72,21.1,79.98368807995931
69,504.49,64.86,444.47,48.62,18.19,79.3882610008707
70,512.86,71.0,478.32,31.0,16.27,75.60637623238173
71,447.31,71.15,493.16,23.61,20.76,79.32727946138596
72,394.76,71.24,426.7,24.42,20.27,75.45266071822654
73,341.71,64.31,508.85,26.34,23.66,82.71668325891801
74,433.73,67.77,499.65,26.88,23.45,83.13276354994201
75,378.26,55.01,498.63,40.48,20.48,82.16420219185228
76,357.03,58.56,567.36,40.73,20.07,84.79379453674595
77,436.45,66.99,466.17,45.14,17.69,78.80124907422548
78,353.34,65.32,480.15,32.37,20.16,78.90421693006928
79,525.27,55.87,450.95,30.41,19.04,77.3341330959327
80,523.32,64.91,440.55,32.51,17.71,75.72875627056517
81,377.37,62.51,471.43,21.51,19.65,76.16998587083802
82,433.7,70.68,452.34,32.45,18.46,76.62023688909578
83,454.21,60.65,581.39,33.28,18.24,82.82390159110868
84,321.04,65.06,567.23,35.07,20.4,83.62915231870741
85,541.71,72.9,464.71,30.86,17.52,76.39192729516459
86,530.04,73.96,474.97,39.19,18.29,79.6579865021606
87,448.45,60.9,533.43,31.93,19.29,81.29879511562154
88,459.17,75.15,520.53,30.9,21.43,82.82079567464301
89,503.98,63.29,539.77,26.56,20.74,82.59746505912742
90,384.22,72.32,482.21,29.79,19.91,78.27669831176422
91,435.11,57.89,461.84,38.11,23.39,83.63655592952425
92,574.64,62.62,413.03,36.55,17.19,75.19184895256487
93,391.52,69.33,474.28,28.66,19.19,77.17487419442412
94,575.74,69.49,535.75,26.81,18.6,81.04413836679163
95,557.9,66.56,544.17,36.41,22.36,87.11347227514764
96,334.6,70.09,482.17,30.02,18.97,77.24924602528584
97,498.29,70.65,459.74,29.51,19.49,77.86601916592208
98,501.62,68.71,511.43,31.34,19.82,81.0277332225188
99,579.22,66.69,431.93,37.4,19.72,79.25388584606077
100,448.4,66.23,514.71,24.92,19.24,78.94050861911518
101,531.62,71.55,537.24,36.68,18.24,82.05643044556028
102,390.08,58.53,522.9,32.26,22.15,83.36172061235102
103,572.36,66.31,514.42,29.06,19.62,81.1269465489614
104,328.96,68.82,494.08,34.0,18.66,77.98833737824079
105,323.69,59.91,479.1,25.45,18.78,75.6883433621549
106,374.45,70.26,458.52,24.34,21.51,77.92771820396689
107,347.77,64.88,541.79,30.14,21.11,82.47427507295355
108,398.15,63.84,489.03,32.1,21.3,80.94874441504999
109,420.39,63.17,487.01,39.41,18.62,79.57066668588948
110,592.96,65.28,546.55,26.76,19.75,82.92338635047314
111,480.26,64.59,560.16,34.92,19.49,83.6112076082121
112,369.64,56.3,473.15,50.34,21.89,84.41008465339188
113,471.24,71.37,488.96,34.39,19.72,80.18063684045585
114,381.42,79.34,511.85,28.42,15.85,75.3217044007907
115,442.84,64.37,477.98,34.7,18.25,77.90587796394304
116,323.09,64.88,568.97,39.86,18.7,82.99118382966599
117,569.08,68.89,512.96,31.73,19.26,81.22620455127844
118,369.6,66.19,502.72,26.74,21.83,81.14881197751014
119,421.3,62.97,496.74,33.73,19.55,79.94007543329253
120,535.0,60.27,482.38,34.0,20.97,82.0191093345326
121,465.95,71.55,505.87,22.93,19.77,78.82485459617641
122,430.0,60.6,435.48,36.77,16.43,74.27460643344729
123,422.43,72.76,454.67,38.54,19.72,79.03647514096411
124,453.62,67.26,515.87,24.59,21.18,81.40045780531351
125,414.14,71.06,499.61,32.66,20.74,81.23157297945401
126,432.26,68.92,412.23,23.17,23.46,77.8907310009728
127,359.99,69.22,483.53,29.87,19.63,77.7503714025325
128,627.61,60.03,455.89,35.5,19.77,80.56789091240722
129,554.18,62.39,446.78,35.32,19.61,79.23364168773847
130,409.12,76.03,510.27,20.23,17.37,75.2703713182576
131,511.08,69.78,497.96,31.45,17.34,77.96608195553151
132,357.12,66.26,517.37,23.78,22.7,81.82597527143122
133,355.25,65.95,485.35,32.81,20.01,79.20614090689119
134,429.12,60.87,477.85,33.3,20.19,79.44410185420378
135,557.17,73.36,446.39,28.17,19.73,77.51349410551062
136,411.58,66.31,452.23,34.99,20.04,78.4334748779177
137,518.49,79.5,464.97,19.8,19.92,76.99069465547768
138,297.61,62.24,515.2,22.94,22.06,80.16824496889099
139,378.12,66.14,571.08,42.08,18.86,84.20042658620956
140,367.24,59.6,507.72,30.81,21.22,81.0881755322106
141,381.85,61.68,501.83,42.87,19.51,81.48540431925304
142,361.7,65.07,480.62,35.34,18.24,77.52144649339998
143,504.78,69.8,545.63,25.78,18.71,80.47086916336382
144,430.55,56.25,515.5,17.42,21.41,79.69643240867084
145,476.31,65.47,526.97,26.76,19.36,80.06306994195454
146,392.52,69.73,516.43,38.94,20.01,82.41598469297747
147,500.83,64.61,473.07,28.12,19.7,78.5803249068883
148,473.59,78.51,488.88,24.23,21.65,80.43514391282235
149,237.46,66.09,534.56,30.77,19.81,79.69448063271615
150,469.67,66.64,462.93,23.88,18.59,75.70149837611152
151,421.65,73.23,534.66,27.35,21.17,82.21462473853803
152,589.59,67.14,534.84,32.02,19.22,82.37559032704465
153,462.17,63.18,527.97,26.7,19.36,79.99443163651911
154,397.05,71.37,482.76,19.48,19.75,76.33560436901435
155,350.47,65.74,527.29,18.68,21.71,80.23388950671006
156,325.3,75.0,474.86,19.74,22.93,78.70073717194457
157,324.64,77.88,458.95,27.31,20.77,77.44990625560331
158,406.37,62.19,508.18,35.25,21.18,82.60214915342632
159,464.09,66.53,491.26,16.04,19.84,76.91883996875849
160,517.5,71.95,557.98,33.03,20.8,84.85610598734357
161,375.58,69.8,446.9,24.44,19.74,75.72406452967158
162,394.49,64.66,558.34,38.87,21.31,85.65544112194317
163,595.28,64.14,401.43,25.02,23.61,79.57055479607934
164,517.18,71.05,483.34,29.58,19.3,78.89440790905151
165,509.44,58.15,470.36,38.62,20.55,81.66705653316694
166,599.02,54.57,460.97,25.17,20.25,78.73553820172103
167,616.02,71.47,431.14,28.04,22.11,80.29285340527389
168,460.0,61.93,473.12,35.32,20.51,80.37951694808764
169,437.96,75.3,380.53,26.74,20.63,74.3191376896882
170,470.32,63.46,481.21,37.82,23.29,84.31715580706
171,289.01,71.51,509.97,26.22,20.01,78.34383741653238
172,311.43,59.78,521.93,37.32,19.91,81.54856755691003
173,478.05,63.57,559.05,37.51,19.96,84.49510113363672
174,572.54,64.12,409.65,35.41,21.7,79.53164451527941
175,401.01,71.24,533.44,27.3,17.9,78.21604225621631
176,424.53,74.32,461.45,36.76,18.65,78.02358491960801
177,714.73,69.14,493.07,23.74,18.26,79.18384439895969
178,313.0,75.98,477.77,19.5,21.64,77.25707627021653
179,515.73,66.91,476.76,31.22,18.63,78.41130314370739
180,455.93,61.99,506.51,32.54,22.52,83.81790387893602
181,405.26,68.35,465.03,35.01,18.19,77.06975562182178
182,437.38,73.91,534.46,33.05,19.07,81.31662254534216
183,518.46,71.8,457.88,14.74,20.49,76.13074088620667
184,362.01,65.47,482.52,34.04,20.14,79.37827364831823
185,437.42,57.74,557.37,27.24,23.35,86.35162007532581
186,391.05,72.58,502.93,35.08,19.97,80.73242267088483
187,268.68,48.35,538.89,48.72,19.16,83.33970027218315
188,537.95,68.93,545.48,28.47,21.76,84.90322115170488
189,492.99,62.98,486.97,30.25,19.41,78.99669112486302
190,460.93,67.67,503.34,22.38,18.52,77.06642863564815
191,342.44,70.17,495.39,22.3,21.39,78.90285584568656
192,326.93,60.68,462.63,36.4,18.96,77.2095855666712
193,398.36,62.35,415.41,31.33,20.47,76.15446417876427
194,428.97,66.0,518.9,38.26,21.44,83.90257320645658
195,588.64,70.66,488.37,29.48,21.43,82.55037263048791
196,459.19,66.43,538.83,40.0,17.34,81.00106992587207
197,248.83,76.1,586.05,19.04,20.07,80.39497480324863
198,468.52,66.42,445.46,23.26,23.38,80.12362269378532
199,614.16,62.43,522.32,35.35,18.97,82.67122541866684
200,217.19,67.34,523.36,28.92,17.62,76.35541947841728
201,519.98,77.81,518.24,28.17,20.28,81.46426551041166
202,399.42,64.49,531.98,39.22,19.05,81.87232237054279
203,575.34,70.39,492.23,27.76,20.13,80.54395675462503
204,397.58,58.33,524.54,22.02,19.91,79.20776453818641
205,455.85,64.79,520.17,29.89,19.62,80.65705818343676
206,432.86,63.74,474.36,35.54,21.52,81.35908587009828
207,458.33,67.08,486.73,21.79,18.01,75.76031674446165
208,412.26,58.03,496.2,37.32,20.18,81.36424758530072
209,389.6,71.95,544.02,25.93,22.56,83.89004421470857
210,264.39,78.16,532.68,24.76,20.49,79.33021729215208
